ID,Language_ID,Language_name,Language_glottocode,Language_iso,Parameter_ID,Parameter_name,Value,Source,Comment
psi-123-1-1,psi,Proto-Siouan,,sio,123,tobacco,[old reconstruction only],,
pma-123-1-1,pma,Pre-Mandan,,,123,tobacco,*wrąš,,
ma-123-1-1,ma,Mandan,mand1446,mhq,123,tobacco,wąrą́š,c,
pda-123-1-1,pda,Proto-Dakota,,,123,tobacco,*čhąRí,,
pdh-123-1-1,pdh,Proto-Dhegiha,,,123,tobacco,*Ranį́-hü,,
pbo-123-1-1,pbo,Proto-Biloxi-Ofo,,,123,tobacco,*iyá•nį,,
la-123-1-1,la,Lakota,lako1247,lkt,123,tobacco,čhąlí,c,
la-123-1-2,la,Lakota,lako1247,lkt,123,tobacco,čhanų́pa,,
da-123-1-1,da,Dakota,dako1258,dak,123,tobacco,ćaŋdí,r[86],
da-123-2-1,da,Dakota,dako1258,dak,123,tobacco,ćaŋ-dú-hu-pa,r[87a],
ch-123-1-1,ch,Chiwere,iowa1245,iow,123,tobacco,rá•ñį,rr,
ch-123-1-2,ch,Chiwere,iowa1245,iow,123,tobacco,láhn-,marsh,
wi-123-1-1,wi,Hoocąk,hoch1243,win,123,tobacco,taanį́,km[3062],
wi-123-1-2,wi,Hoocąk,hoch1243,win,123,tobacco,taanį,,
op-123-1-1,op,Omaha-Ponca,omah1247,oma,123,tobacco,"nini, ninihi",sw[174],
ks-123-1-1,ks,Kanza/Kaw,kans1243,ksk,123,tobacco,"nąnǘ, nąní, nǫnǘ",rr,
os-123-1-1,os,Osage,osag1243,osa,123,tobacco,nąnǘhü,rr,
qu-123-1-1,qu,Quapaw,quap1242,qua,123,tobacco,"taní, tanį́",jod;rr,
bi-123-1-1,bi,Biloxi,bilo1248,bll,123,tobacco,"yáni, yaní",ds[288b],
of-123-1-1,of,Ofo,ofoo1242,ofo,123,tobacco,itcā´ni,ds[324b],
tu-123-1-1,tu,Tutelo,tute1247,tta,123,tobacco,"yéhni, yihnū",h,
tu-123-2-1,tu,Tutelo,tute1247,tta,123,tobacco,nǫní’,sapir,
tu-123-2-2,tu,Tutelo,tute1247,tta,123,tobacco,nonē´,frachtenberg,
