ID,Language_ID,Language_name,Language_glottocode,Language_iso,Parameter_ID,Parameter_name,Value,Source,Comment
psi-904-1-1,psi,Proto-Siouan,,sio,904,"do, make, work; to cause",*hi_E,,
pch-904-1-1,pch,Proto-Crow-Hidatsa,,,904,"do, make, work; to cause","*hre, *-hi_E",,
pmv-904-1-1,pmv,Proto-Mississipi-Valley,,,904,"do, make, work; to cause",*-hi_(r)E,,
ca-904-1-1,ca,Catawba,cata1286,chc,904,"do, make, work; to cause",če,ks,
cr-904-1-1,cr,Crow,crow1244,cro,904,"do, make, work; to cause",-hili,rg,
hi-904-1-1,hi,Hidatsa,hida1246,hid,904,"do, make, work; to cause",hrÉ,j,
hi-904-1-2,hi,Hidatsa,hida1246,hid,904,"do, make, work; to cause",hirí,,
ma-904-1-1,ma,Mandan,mand1446,mhq,904,"do, make, work; to cause",-here-,c,
pda-904-1-1,pda,Proto-Dakota,,,904,"do, make, work; to cause",*-_-yA,,
pdh-904-1-1,pdh,Proto-Dhegiha,,,904,"do, make, work; to cause",*_-(r)e,,
la-904-1-1,la,Lakota,lako1247,lkt,904,"do, make, work; to cause",-_-yA,,
da-904-1-1,da,Dakota,dako1258,dak,904,"do, make, work; to cause",-_-yA,,
ch-904-1-1,ch,Chiwere,iowa1245,iow,904,"do, make, work; to cause",-hi_ ~ -re,,
op-904-1-1,op,Omaha-Ponca,omah1247,oma,904,"do, make, work; to cause",_-(ð)e,,
ks-904-1-1,ks,Kanza/Kaw,kans1243,ksk,904,"do, make, work; to cause",_-(y)e,,
os-904-1-1,os,Osage,osag1243,osa,904,"do, make, work; to cause",_-(ð)e,,
qu-904-1-1,qu,Quapaw,quap1242,qua,904,"do, make, work; to cause",_-(d)e,,
bi-904-1-1,bi,Biloxi,bilo1248,bll,904,"do, make, work; to cause",-ha-_-yE,einaudi,
of-904-1-1,of,Ofo,ofoo1242,ofo,904,"do, make, work; to cause",-ti,,
